,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,SBIN,ITC,LT,KOTAKBANK,HINDUNILVR
RELIANCE,1.0,0.285,0.338,0.269,0.329,0.393,0.288,0.385,0.305,0.176
TCS,0.285,1.0,0.217,0.698,0.204,0.187,0.163,0.293,0.149,0.242
HDFCBANK,0.338,0.217,1.0,0.253,0.54,0.438,0.223,0.402,0.499,0.164
INFY,0.269,0.698,0.253,1.0,0.263,0.191,0.181,0.302,0.18,0.225
ICICIBANK,0.329,0.204,0.54,0.263,1.0,0.593,0.292,0.435,0.464,0.15
SBIN,0.393,0.187,0.438,0.191,0.593,1.0,0.347,0.481,0.4,0.08
ITC,0.288,0.163,0.223,0.181,0.292,0.347,1.0,0.297,0.278,0.307
LT,0.385,0.293,0.402,0.302,0.435,0.481,0.297,1.0,0.338,0.125
KOTAKBANK,0.305,0.149,0.499,0.18,0.464,0.4,0.278,0.338,1.0,0.208
HINDUNILVR,0.176,0.242,0.164,0.225,0.15,0.08,0.307,0.125,0.208,1.0
