date,cash,mark_to_market_equity,open_positions
2020-10-01,1000000.0,1000000.0,0
2020-10-05,1000257.9365079365,1000257.9365079365,0
2020-10-06,81.73194711520046,1000298.3819471151,5
2020-10-07,81.7530287682262,1006959.2530287682,5
2020-10-08,389611.92691585905,1031132.6269158591,3
2020-10-09,389712.42205573816,1033056.4220557382,3
2020-10-12,878567.1990369826,1034126.4490369826,1
2020-10-13,878793.8135922898,1031350.0635922898,1
2020-10-14,1030571.952049764,1030571.952049764,0
2020-10-15,1030837.774180253,1030837.774180253,0
2020-10-16,1031103.6648759742,1031103.6648759742,0
2020-10-19,1031369.6241546128,1031369.6241546128,0
2020-10-20,1031635.652033859,1031635.652033859,0
2020-10-21,1031901.7485314074,1031901.7485314074,0
2020-10-22,792256.1376649572,1035694.1376649572,1
2020-10-23,792460.4894464978,1037185.4894464978,1
2020-10-26,792664.8939378232,1040119.8939378232,1
2020-10-27,792869.3511525295,1048176.3511525295,1
2020-10-28,793073.8611042156,1048614.8611042155,1
2020-10-29,793278.4238064846,1036248.4238064846,1
2020-10-30,793483.0392729426,1035153.0392729426,1
2020-11-02,793687.7075171995,1035305.7075171995,1
2020-11-03,793892.4285528685,1040307.4285528685,1
2020-11-04,794097.2023935667,1038458.2023935667,1
2020-11-05,794302.0290529142,1043408.0290529142,1
2020-11-06,794506.908544535,1044301.908544535,1
2020-11-09,794711.8408820565,1045832.8408820565,1
2020-11-10,1054771.6276379356,1054771.6276379356,0
2020-11-11,819579.4709482391,1062322.470948239,1
2020-11-12,819790.8704149519,1066070.8704149518,1
2020-11-13,820002.324409305,1065103.3244093051,1
2020-11-14,820213.832945363,1067279.8329453631,1
2020-11-17,820425.3960371942,1065853.8960371942,1
2020-11-18,820637.0136988704,1061742.5136988705,1
2020-11-19,820848.6859444673,1066997.6859444673,1
2020-11-20,821060.4127880641,1072187.412788064,1
2020-11-23,821272.1942437436,1071285.6942437436,1
2020-11-24,1077385.8465824928,1077385.8465824928,0
2020-11-25,1077663.7437254605,1077663.7437254605,0
2020-11-26,1077941.7125482468,1077941.7125482468,0
2020-11-27,1078219.7530693407,1078219.7530693407,0
2020-12-01,1078497.8653072356,1078497.8653072356,0
2020-12-02,1078776.04928043,1078776.04928043,0
2020-12-03,1079054.305007427,1079054.305007427,0
2020-12-04,1079332.6325067345,1079332.6325067345,0
2020-12-07,1079611.0317968652,1079611.0317968652,0
2020-12-08,1079889.5028963366,1079889.5028963366,0
2020-12-09,1080168.045823671,1080168.045823671,0
2020-12-10,1080446.6605973954,1080446.6605973954,0
2020-12-11,1080725.3472360414,1080725.3472360414,0
2020-12-14,1081004.105758146,1081004.105758146,0
2020-12-15,1081282.9361822503,1081282.9361822503,0
2020-12-16,1081561.8385269004,1081561.8385269004,0
2020-12-17,1081840.8128106473,1081840.8128106473,0
2020-12-18,1082119.859052047,1082119.859052047,0
2020-12-21,1082398.9772696595,1082398.9772696595,0
2020-12-22,1082678.1674820506,1082678.1674820506,0
2020-12-23,1082957.42970779,1082957.42970779,0
2020-12-24,1083236.7639654528,1083236.7639654528,0
2020-12-28,1083516.1702736185,1083516.1702736185,0
2020-12-29,1083795.6486508716,1083795.6486508716,0
2020-12-30,1084075.1991158014,1084075.1991158014,0
2020-12-31,1084354.821687002,1084354.821687002,0
2021-01-01,1084634.5163830721,1084634.5163830721,0
2021-01-04,1084914.2832226155,1084914.2832226155,0
2021-01-05,1085194.1222242403,1085194.1222242403,0
2021-01-06,1085474.03340656,1085474.03340656,0
2021-01-07,1085754.0167881928,1085754.0167881928,0
2021-01-08,1086034.0723877612,1086034.0723877612,0
2021-01-11,1086314.200223893,1086314.200223893,0
2021-01-12,1086594.4003152205,1086594.4003152205,0
2021-01-13,1086874.6726803812,1086874.6726803812,0
2021-01-14,1087155.017338017,1087155.017338017,0
2021-01-15,1087435.4343067748,1087435.4343067748,0
2021-01-18,1087715.9236053063,1087715.9236053063,0
2021-01-19,1087996.485252268,1087996.485252268,0
2021-01-20,1088277.1192663212,1088277.1192663212,0
2021-01-21,1088557.825666132,1088557.825666132,0
2021-01-22,1088838.6044703713,1088838.6044703713,0
2021-01-25,1089119.4556977148,1089119.4556977148,0
2021-01-27,1089400.3793668433,1089400.3793668433,0
2021-01-28,1089681.375496442,1089681.375496442,0
2021-01-29,1089962.444105201,1089962.444105201,0
2021-02-01,1090243.5852118153,1090243.5852118153,0
2021-02-02,1090524.7988349851,1090524.7988349851,0
2021-02-03,1090806.0849934148,1090806.0849934148,0
2021-02-04,1091087.443705814,1091087.443705814,0
2021-02-05,1091368.8749908968,1091368.8749908968,0
2021-02-08,1091650.3788673826,1091650.3788673826,0
2021-02-09,1091931.9553539953,1091931.9553539953,0
2021-02-10,1092213.6044694637,1092213.6044694637,0
2021-02-11,1092495.3262325213,1092495.3262325213,0
2021-02-12,1092777.1206619067,1092777.1206619067,0
2021-02-15,1093058.987776363,1093058.987776363,0
2021-02-16,1093340.9275946387,1093340.9275946387,0
2021-02-17,1093622.9401354864,1093622.9401354864,0
2021-02-18,883072.0938976643,1091998.0938976645,1
2021-02-19,883299.8704298205,1093497.8704298204,1
2021-02-22,883527.70571386,1086422.3057138599,1
2021-02-23,883755.599764937,1088208.3997649369,1
2021-02-24,883983.5525982097,1092231.1525982097,1
2021-02-25,884211.5642288402,1100875.5642288402,1
2021-02-26,884439.6346719945,1095188.8346719944,1
2021-03-01,884667.7639428424,1097028.1639428423,1
2021-03-02,884895.9520565578,1097680.3520565578,1
2021-03-03,885124.1990283184,1107618.1990283183,1
2021-03-04,885352.5048733059,1105196.504873306,1
2021-03-05,885580.8696067057,1105721.6696067057,1
2021-03-08,885809.2932437075,1107200.8932437075,1
2021-03-09,886037.7757995045,1107418.7757995045,1
2021-03-10,886266.3172892941,1106725.117289294,1
2021-03-12,886494.9177282774,1102480.5177282775,1
2021-03-15,886723.5771316597,1099804.7771316597,1
2021-03-16,886952.2955146501,1099196.09551465,1
2021-03-17,887181.0728924613,1094856.2728924614,1
2021-03-18,887409.9092803106,1090399.9092803106,1
2021-03-19,655093.9174934187,1102011.4674934186,2
2021-03-22,655262.8901308674,1103434.2901308674,2
2021-03-23,655431.9063525281,1102104.9063525281,2
2021-03-24,655600.9661696429,1091582.916169643,2
2021-03-25,386597.3035134565,1071811.9035134567,3
2021-03-26,586094.6348959116,1078735.9348959117,2
2021-03-30,586245.8100993569,1092138.360099357,2
2021-03-31,586397.0242964063,1100279.5242964062,2
2021-04-01,586548.2774971176,1098316.9274971178,2
2021-04-05,586699.5697115514,1087506.3197115515,2
2021-04-06,586850.9009497707,1091835.3509497708,2
2021-04-07,587002.2712218411,1092853.071221841,2
2021-04-08,587153.6805378309,1092960.330537831,2
2021-04-09,587305.1289078109,1100620.228907811,2
2021-04-12,808513.4271498146,1094105.4271498146,1
2021-04-13,1098850.0159913413,1098850.0159913413,0
2021-04-15,1099133.4495272122,1099133.4495272122,0
2021-04-16,1099416.9561709394,1099416.9561709394,0
2021-04-19,1099700.5359413803,1099700.5359413803,0
2021-04-20,1099984.1888573968,1099984.1888573968,0
2021-04-22,1100267.9149378561,1100267.9149378561,0
2021-04-23,1100551.7142016299,1100551.7142016299,0
2021-04-26,1100835.5866675945,1100835.5866675945,0
2021-04-27,1101119.5323546317,1101119.5323546317,0
2021-04-28,1101403.551281628,1101403.551281628,0
2021-04-29,941564.2971874746,1101276.9471874745,1
2021-04-30,941807.1609942887,1096135.6609942887,1
2021-05-03,942050.0874445452,1095414.8374445452,1
2021-05-04,942293.076554402,1094321.4265544019,1
2021-05-05,942536.1283400212,1097455.7283400213,1
2021-05-06,942779.2428175693,1099086.6428175694,1
2021-05-07,943022.4200032167,1099047.1200032167,1
2021-05-10,943265.6599131381,1100870.909913138,1
2021-05-11,777798.0998435125,1103727.1498435126,2
2021-05-12,777998.7223692659,1101462.2723692658,2
2021-05-14,778199.3966428929,1098954.2966428928,2
2021-05-17,778400.1226777412,1116423.7226777412,2
2021-05-18,778600.900487162,1118697.300487162,2
2021-05-19,778801.7300845099,1117903.98008451,2
2021-05-20,779002.6114831428,1116414.0114831429,2
2021-05-21,966456.85641264,1131566.50641264,1
2021-05-24,966706.1409192543,1133075.0909192543,1
2021-05-25,739013.2817254438,1132488.5817254437,2
2021-05-26,739203.9002306508,1136668.8002306507,2
2021-05-27,739394.5679033294,1138347.4179033292,2
2021-05-28,455492.6923561616,1131120.5423561614,3
2021-05-31,217669.98055061855,1138376.5805506187,4
2021-06-01,206.24878528437694,1132137.1987852845,5
2021-06-02,209566.73931919725,1122581.5393191972,4
2021-06-03,209620.7942321169,1133013.9942321167,4
2021-06-04,209674.863087772,1132408.8130877719,4
2021-06-07,209728.94588975894,1140356.245889759,4
2021-06-08,209783.04264167495,1136416.092641675,4
2021-06-09,209837.15334711823,1129791.3033471182,4
2021-06-10,209891.27800968793,1132580.978009688,4
2021-06-11,209945.41663298407,1134821.116632984,4
2021-06-14,209999.56922060766,1135770.1692206077,4
2021-06-15,210053.7357761606,1138162.0857761605,4
2021-06-16,210107.91630324573,1133920.2663032457,4
2021-06-17,210162.1108054668,1132541.6608054668,4
2021-06-18,210216.31928642854,1130493.1192864287,4
2021-06-21,210270.54174973656,1128642.2917497365,4
2021-06-22,210324.7781989974,1135317.5281989975,4
2021-06-23,210379.02863781858,1127422.1286378186,4
2021-06-24,210433.2930698085,1146999.0430698085,4
2021-06-25,210487.57149857652,1156051.5714985766,4
2021-06-28,210541.8639277329,1149975.3139277329,4
2021-06-29,210596.17036088885,1146204.9203608888,4
2021-06-30,210650.49080165653,1142082.3408016565,4
2021-07-01,210704.82525364903,1138683.375253649,4
2021-07-02,210759.17372048032,1137673.2737204803,4
2021-07-05,210813.53620576535,1145141.0862057654,4
2021-07-06,210867.91271312002,1146463.51271312,4
2021-07-07,210922.30324616111,1151063.653246161,4
2021-07-08,210976.70780850635,1141044.1078085063,4
2021-07-09,211031.12640377443,1132668.4264037744,4
2021-07-12,211085.5590355849,1131164.2090355847,4
2021-07-13,211140.0057075584,1139881.0057075585,4
