ema_fast,ema_slow,rsi_low,rsi_high,stop_atr_mult,target_atr_mult,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate_pct,profit_factor
20,50,40,70,1.5,3.0,45.25,0.57,-4.23,81,46.9,1.52
20,50,40,70,2.0,4.0,52.63,0.64,-7.74,82,47.6,1.61
20,50,40,70,2.5,5.0,54.53,0.66,-7.47,78,47.4,1.72
20,50,40,70,2.0,2.0,43.72,0.59,-5.01,83,63.9,1.52
20,50,40,70,3.0,3.0,52.28,0.88,-4.27,83,62.7,1.88
10,30,40,70,1.5,3.0,57.86,0.79,-6.97,137,43.8,1.52
10,30,40,70,2.0,4.0,64.42,0.78,-7.14,134,44.8,1.62
10,30,40,70,2.5,5.0,50.42,0.51,-8.04,128,43.8,1.48
10,30,40,70,2.0,2.0,49.78,0.7,-5.48,140,59.3,1.47
10,30,40,70,3.0,3.0,58.02,0.92,-5.34,138,53.6,1.65
20,50,30,60,1.5,3.0,40.31,0.69,-2.94,33,54.5,1.98
20,50,30,60,2.0,4.0,40.61,0.56,-4.21,33,51.5,1.79
20,50,30,60,2.5,5.0,42.45,0.67,-3.7,33,51.5,1.86
20,50,30,60,2.0,2.0,33.3,0.34,-3.37,33,60.6,1.41
20,50,30,60,3.0,3.0,40.46,0.91,-2.82,33,63.6,2.41
15,40,45,75,1.5,3.0,42.07,0.4,-11.63,115,45.2,1.34
15,40,45,75,2.0,4.0,38.51,0.29,-11.62,111,42.3,1.28
15,40,45,75,2.5,5.0,42.03,0.37,-9.65,105,41.9,1.37
15,40,45,75,2.0,2.0,38.95,0.39,-6.29,119,59.7,1.28
15,40,45,75,3.0,3.0,37.65,0.33,-6.71,114,53.5,1.3
