ticker,entry_date,exit_date,entry_price,exit_price,qty,holding_days,exit_reason,entry_cost,exit_cost,gross_pnl,pnl,pnl_pct
KOTAKBANK,2020-10-06,2020-10-08,1325.0,1326.5,94,2,signal_exit,99.64,224.44,141.0,-183.08,0.11
INFY,2020-10-06,2020-10-08,1055.0,1120.43,237,2,take_profit,200.03,477.97,15506.57,14828.57,6.2
TCS,2020-10-06,2020-10-12,2736.0,2815.5,84,6,signal_exit,183.86,425.7,6678.0,6068.44,2.91
HINDUNILVR,2020-10-06,2020-10-12,2119.0,2145.2,118,6,signal_exit,200.03,455.64,3091.6,2435.93,1.24
ICICIBANK,2020-10-06,2020-10-14,377.1,394.35,385,8,signal_exit,116.15,273.28,6641.25,6251.82,4.57
LT,2020-10-22,2020-11-10,922.0,1001.24,260,19,take_profit,191.78,468.58,20603.38,19943.03,8.59
ITC,2020-11-11,2020-11-24,179.6,195.7,1310,13,take_profit,188.22,461.45,21087.27,20437.6,8.96
RELIANCE,2021-02-18,2021-03-26,993.7,942.25,212,36,stop_loss,168.53,359.56,-10907.22,-11435.32,-5.18
ITC,2021-03-19,2021-04-12,219.0,208.72,1061,24,stop_loss,185.89,398.62,-10903.57,-11488.08,-4.69
HINDUNILVR,2021-03-25,2021-04-13,2318.6,2505.61,116,19,take_profit,215.17,523.17,21693.62,20955.28,8.07
SBIN,2021-05-11,2021-05-21,356.85,404.29,464,10,take_profit,132.46,337.66,22012.58,21542.45,13.29
ITC,2021-06-01,2021-06-02,218.0,210.37,997,1,stop_loss,173.88,377.53,-7608.03,-8159.44,-3.5
LT,2021-05-25,2021-07-15,1460.0,1605.18,156,51,take_profit,182.21,450.73,22647.98,22015.04,9.94
HDFCBANK,2021-05-31,2021-07-26,750.0,714.42,317,56,stop_loss,190.2,407.65,-11279.01,-11876.86,-4.74
ITC,2021-07-29,2021-07-30,209.1,206.1,1373,1,signal_exit,229.68,509.36,-4119.0,-4858.03,-1.43
ICICIBANK,2021-04-29,2021-08-04,622.55,708.04,257,97,take_profit,128.0,327.54,21969.8,21514.26,13.73
TCS,2021-05-28,2021-08-13,3189.5,3410.93,89,77,take_profit,227.09,546.43,19707.48,18933.96,6.94
KOTAKBANK,2021-08-16,2021-08-20,1784.0,1711.01,160,4,stop_loss,228.35,492.77,-11678.43,-12399.55,-4.09
HINDUNILVR,2021-08-18,2021-08-23,2485.0,2625.0,4,5,signal_exit,7.95,18.9,560.0,533.15,5.63
RELIANCE,2021-08-16,2021-09-02,1024.4,1094.9,285,17,take_profit,233.56,561.68,20092.66,19297.41,6.88
ITC,2021-08-04,2021-09-16,210.9,224.14,1368,43,take_profit,230.81,551.91,18106.38,17323.66,6.28
KOTAKBANK,2021-09-06,2021-09-17,1808.0,1938.03,164,11,take_profit,237.21,572.11,21324.96,20515.64,7.19
HDFCBANK,2021-08-16,2021-09-27,763.1,817.49,383,42,take_profit,233.81,563.58,20830.6,20033.21,7.13
ICICIBANK,2021-12-10,2021-12-20,756.5,717.04,318,10,stop_loss,192.45,410.43,-12549.7,-13152.58,-5.22
TCS,2021-12-15,2022-01-10,3620.0,3891.93,86,26,take_profit,249.06,602.47,23385.72,22534.19,7.51
RELIANCE,2022-01-14,2022-01-24,1208.2,1159.48,265,10,stop_loss,256.14,553.07,-12911.28,-13720.49,-4.03
ITC,2022-02-07,2022-02-14,234.0,224.21,1312,7,stop_loss,245.61,529.5,-12838.76,-13613.87,-4.18
ICICIBANK,2022-01-05,2022-02-22,773.0,739.29,376,48,stop_loss,232.52,500.35,-12676.74,-13409.61,-4.36
SBIN,2022-01-11,2022-02-24,503.0,478.58,525,44,stop_loss,211.26,452.26,-12818.38,-13481.9,-4.85
ITC,2022-03-11,2022-03-24,231.9,253.83,1115,13,take_profit,206.85,509.44,24453.26,23736.96,9.46
INFY,2022-03-15,2022-04-11,1888.35,1795.03,131,27,stop_loss,197.9,423.27,-12225.47,-12846.64,-4.94
TCS,2022-04-04,2022-04-18,3762.0,3628.86,83,14,stop_loss,249.8,542.15,-11050.87,-11842.82,-3.54
RELIANCE,2022-03-23,2022-04-21,1202.45,1328.06,198,29,take_profit,190.47,473.32,24870.85,24207.06,10.45
SBIN,2022-04-06,2022-05-04,507.0,481.02,484,28,stop_loss,196.31,419.07,-12574.06,-13189.43,-5.12
ICICIBANK,2022-04-19,2022-05-04,761.8,727.18,355,15,stop_loss,216.35,464.67,-12288.44,-12969.46,-4.54
