date,cash,mark_to_market_equity,open_positions
2024-10-01,1000257.9365079365,1000257.9365079365,0
2024-10-03,1000515.939547115,1000515.939547115,0
2024-10-04,1000774.0091346966,1000774.0091346966,0
2024-10-07,1001032.1452878463,1001032.1452878463,0
2024-10-08,1001290.348023734,1001290.348023734,0
2024-10-09,1001548.6173595338,1001548.6173595338,0
2024-10-10,1001806.9533124241,1001806.9533124241,0
2024-10-11,1002065.355899588,1002065.355899588,0
2024-10-14,1002323.8251382129,1002323.8251382129,0
2024-10-15,1002582.3610454906,1002582.3610454906,0
2024-10-16,1002840.9636386174,1002840.9636386174,0
2024-10-17,1003099.6329347941,1003099.6329347941,0
2024-10-18,812548.1779284398,1005342.1779284398,1
2024-10-21,812757.7637679848,1004036.0137679848,1
2024-10-22,634588.8531916551,996936.6531916552,2
2024-10-23,634752.5368244228,998249.9368244228,2
2024-10-24,819353.0742466404,999561.8742466404,1
2024-10-25,819564.4153173786,999134.6153173787,1
2024-10-28,819775.8109006946,998398.4109006946,1
2024-10-29,819987.2610106491,1000422.6610106492,1
2024-10-30,673487.6884767353,997725.1384767352,2
2024-10-31,673661.4055392392,997603.6055392391,2
2024-11-01,673835.1674097156,998119.1674097156,2
2024-11-04,674008.9740997221,997434.4240997222,2
2024-11-05,674182.8256208192,1005544.6256208192,2
2024-11-06,674356.7219845706,1006441.9219845706,2
2024-11-07,674530.6632025428,1006579.6632025428,2
2024-11-08,525290.3146927624,1005303.3646927625,3
2024-11-11,525425.8062421872,1006181.9062421871,3
2024-11-12,525561.332739829,996107.182739829,3
2024-11-13,525696.8941947023,987478.0941947022,3
2024-11-14,525832.4906158239,987119.3906158239,3
2024-11-18,525968.1220122129,990962.9720122128,3
2024-11-19,526103.7883928906,991423.2883928906,3
2024-11-21,807114.2284458874,986457.8284458874,1
2024-11-22,807322.4126714786,987119.2126714785,1
2024-11-25,807530.650595382,991447.4505953819,1
2024-11-26,355144.2385980054,989565.4385980053,4
2024-11-27,208393.02682655168,990476.3268265517,5
2024-11-28,396356.8192682083,980606.1192682083,4
2024-11-29,396459.0541620671,985619.3541620672,4
2024-12-02,396561.3154260375,987362.7154260373,4
2024-12-03,396663.6030669212,992906.2030669211,4
2024-12-04,396765.9170915218,995604.9170915218,4
2024-12-05,396868.2575066446,1007019.4575066445,4
2024-12-06,396970.6243190967,1005919.6243190967,4
2024-12-09,397073.0175356869,1008606.1175356868,4
2024-12-10,202595.51143897587,1011069.8114389759,5
2024-12-11,202647.76821772003,1012285.2682177201,5
2024-12-12,202700.03847539524,1009471.8384753952,5
2024-12-13,202752.32221547817,1018131.572215478,5
2024-12-16,202804.61944144644,1014364.9694414465,5
2024-12-17,202856.93015677854,1004767.5801567785,5
2024-12-18,202909.2543649539,1000935.8543649539,5
2024-12-19,202961.5920694528,988983.1920694527,5
2024-12-20,203013.94327375642,978630.3932737564,5
2024-12-23,203066.30798134688,980080.6579813468,5
2024-12-24,392763.65163177793,979123.9516317779,4
2024-12-26,534748.7618917186,978503.5618917187,3
2024-12-27,672704.9761597844,980514.1761597843,2
2024-12-30,672878.4913322065,978271.0913322065,2
2024-12-31,493922.4068602263,976612.1068602263,3
2025-01-01,652729.2618709712,976796.5618709712,2
2025-01-02,796088.4075837395,978993.1075837396,1
2025-01-03,612850.8442271719,974995.5942271719,2
2025-01-06,781911.5807472032,958096.9307472032,1
2025-01-07,782113.2642898562,957546.2142898561,1
2025-01-08,782314.9998540579,957411.3498540579,1
2025-01-09,782516.7874532266,959746.5874532267,1
2025-01-10,782718.627100784,956582.427100784,1
2025-01-13,956190.9318563956,956190.9318563956,0
2025-01-14,956437.5684062791,956437.5684062791,0
2025-01-15,956684.268572733,956684.268572733,0
2025-01-16,956931.0323721664,956931.0323721664,0
2025-01-17,793477.8248939925,953510.4248939925,1
2025-01-20,803127.1075398857,965002.9075398857,1
2025-01-21,803334.2633414336,961273.0633414336,1
2025-01-22,803541.4725760256,961901.8725760257,1
2025-01-23,803748.7352574441,960441.3352574441,1
2025-01-24,803956.0513994747,958497.2513994747,1
2025-01-27,957585.9600117134,957585.9600117134,0
2025-01-28,957832.9563902878,957832.9563902878,0
2025-01-29,958080.0164782456,958080.0164782456,0
2025-01-30,958327.1402920197,958327.1402920197,0
2025-01-31,958574.3278480474,958574.3278480474,0
2025-02-01,795298.7315270557,960628.7315270557,1
2025-02-03,795503.8681046321,956672.5681046321,1
2025-02-04,795709.057594421,956620.357594421,1
2025-02-05,637981.4110969774,953009.3110969774,2
2025-02-06,638145.9697942842,952374.8197942842,2
2025-02-07,638310.5709372867,950128.7709372868,2
2025-02-10,291177.31218899036,948766.5621889904,4
2025-02-11,447497.0334462534,944104.4834462535,3
2025-02-12,597373.4419020433,942508.6419020433,2
2025-02-13,770112.7974643899,941570.3974643899,1
2025-02-14,770311.4376700851,941486.2376700852,1
2025-02-17,940452.7828634192,940452.7828634192,0
2025-02-18,761497.4434044672,941550.9434044672,1
2025-02-19,761693.8613958216,942186.2613958216,1
2025-02-20,761890.3300505467,938202.7300505467,1
2025-02-21,762086.8493817105,938942.6493817106,1
2025-02-24,937697.8197927343,937697.8197927343,0
2025-02-25,937939.6862938714,937939.6862938714,0
2025-02-27,938181.615181209,938181.615181209,0
2025-02-28,938423.6064708391,938423.6064708391,0
2025-03-03,938665.6601788574,938665.6601788574,0
2025-03-04,938907.7763213639,938907.7763213639,0
2025-03-05,767066.058041034,937756.058041034,1
2025-03-06,937388.0857009295,937388.0857009295,0
2025-03-07,937629.8723103364,937629.8723103364,0
2025-03-10,937871.7212853371,937871.7212853371,0
2025-03-11,938113.6326420178,938113.6326420178,0
2025-03-12,938355.606396469,938355.606396469,0
2025-03-13,938597.6425647856,938597.6425647856,0
2025-03-17,779676.3015278662,938249.1015278662,1
2025-03-18,779877.4085104031,938443.8085104031,1
2025-03-19,582947.6952289871,940526.8952289871,2
2025-03-20,583098.0587218042,946308.0587218042,2
2025-03-21,583248.4609988554,947561.6609988555,2
2025-03-24,405080.41508300195,959537.215083002,3
2025-03-25,467277.48833495326,955688.4383349533,3
2025-03-26,467398.0162585317,951125.2162585318,3
2025-03-27,467518.5752706619,956184.2752706618,3
2025-03-28,467639.16537936265,955338.7653793626,3
2025-04-01,467759.78659265494,950350.886592655,3
2025-04-02,467880.4389185618,950591.7889185618,3
2025-04-03,468001.1223651082,951172.8723651082,3
2025-04-04,602175.1777748301,936727.5277748301,2
2025-04-07,751729.3121163977,927250.8121163977,1
2025-04-08,751923.2105500784,932544.2105500784,1
2025-04-09,752117.1589972441,926534.1589972441,1
2025-04-11,613277.3953954235,927668.8453954235,2
2025-04-15,444581.4991438739,926188.1991438739,3
2025-04-16,444696.1729432563,930129.0729432562,3
2025-04-17,632093.4213475409,937752.6713475409,2
2025-04-21,632256.4613173329,934794.511317333,2
2025-04-22,499679.2335982283,940911.0335982284,3
2025-04-23,499808.11911483103,942312.569114831,3
2025-04-24,499937.03787571384,936577.2878757138,3
2025-04-25,500065.9898894516,936099.7898894516,3
2025-04-28,500194.9751646215,942809.7751646214,3
2025-04-29,642015.5545374246,944092.1545374246,2
2025-04-30,642181.1537876029,945362.3537876029,2
2025-05-02,519191.61772687355,946268.6677268737,3
2025-05-05,519325.5361996999,950483.0861996999,3
2025-05-06,519459.48921498953,952133.0392149896,3
2025-05-07,519593.47678165213,949433.6267816521,3
2025-05-08,519727.4989085998,948521.7989085998,3
2025-05-09,519861.55560474686,949049.2056047468,3
2025-05-12,652055.0245257685,961391.5245257685,2
2025-05-13,507253.9773057771,952898.6773057771,3
2025-05-14,390785.5683778916,955536.4683778917,4
2025-05-15,390886.36624275096,960077.4162427508,4
2025-05-16,390987.1901070596,960443.0901070596,4
2025-05-19,391088.03997752373,956554.3899775237,4
2025-05-20,391188.91586085124,953304.8158608512,4
2025-05-21,391289.81776375184,955666.0177637518,4
2025-05-22,391390.74569293694,947623.645692937,4
2025-05-23,391491.6996551196,956170.3996551195,4
2025-05-26,391592.6796570148,962959.1796570148,4
2025-05-27,391693.685705339,956403.385705339,4
2025-05-28,391794.71780681063,950150.5178068106,4
2025-05-29,391895.77596814965,950991.5259681497,4
2025-05-30,391996.86019607796,946667.710196078,4
2025-06-02,556236.2914251273,946762.2914251273,3
2025-06-03,694007.1430428362,944622.5430428362,2
2025-06-04,694186.1528217957,946115.9528217956,2
2025-06-05,694365.2087739124,947214.6087739124,2
2025-06-06,694544.3109110962,948873.9109110963,2
2025-06-09,694723.4592452598,949923.6592452597,2
2025-06-10,694902.6537883191,951928.2537883191,2
2025-06-11,695081.894552193,953614.494552193,2
2025-06-12,519160.4387713465,947891.0387713464,3
2025-06-13,519294.34920198197,945151.149201982,3
2025-06-16,519428.29417300626,949976.6941730063,3
2025-06-17,653914.7111555508,950484.9111555507,2
2025-06-18,654083.3796326346,949774.7796326346,2
2025-06-19,654252.0916154763,950018.4916154763,2
2025-06-20,654420.8471152977,952439.0471152978,2
2025-06-23,654589.6461433234,950901.8461433233,2
2025-06-24,654758.488710781,954132.088710781,2
2025-06-25,654927.3748289008,954690.5748289009,2
2025-06-26,655096.3045089162,955400.1045089163,2
2025-06-27,655265.2777620633,955305.0777620634,2
2025-06-30,655434.2945995813,951374.4945995812,2
2025-07-01,655603.3550327121,953561.7550327121,2
2025-07-02,655772.4590727007,952815.6590727007,2
2025-07-03,655941.6067307949,950106.6067307949,2
2025-07-04,656110.7980182453,952166.1980182453,2
2025-07-07,656280.0329463055,952961.6329463054,2
2025-07-08,656449.311526232,960122.111526232,2
2025-07-09,428472.4777214273,962391.8777214272,3
2025-07-10,428582.99641607766,957661.7964160778,3
2025-07-11,665790.8944902134,965902.6944902134,2
2025-07-14,665962.6262685541,962876.4262685541,2
2025-07-15,666134.40234279,962893.00234279,2
2025-07-16,666306.2227243467,964001.6227243467,2
2025-07-17,425646.5225905097,960362.8725905097,3
2025-07-18,425756.312368162,957502.462368162,3
2025-07-21,542605.7781168283,957508.6781168283,2
2025-07-22,303688.84699793626,954588.4469979362,3
2025-07-23,303767.1794386302,957339.9294386301,3
2025-07-24,538438.3570844606,954401.3570844606,2
2025-07-25,538577.239994026,952084.6399940259,2
2025-07-28,704534.5840428809,945655.384042881,1
2025-07-29,704716.3092332095,945480.7092332095,1
2025-07-30,704898.081297099,945046.881297099,1
2025-07-31,705079.9002466399,945066.7002466399,1
2025-08-01,705261.7660939257,943660.9660939256,1
2025-08-04,705443.6788510531,942482.0788510531,1
2025-08-05,520299.744542979,940575.1445429791,2
2025-08-06,520433.94884216663,939345.5488421666,2
2025-08-07,520568.1877575426,939618.3877575425,2
2025-08-08,520702.4612980356,937305.8612980356,2
2025-08-11,520836.76947257674,940654.3694725768,2
2025-08-12,520971.11229009944,939326.2122900994,2
2025-08-13,531654.728691718,939467.378691718,2
2025-08-14,531791.8618558646,940007.7118558646,2
2025-08-18,531929.0303916608,938301.6803916608,2
2025-08-19,532066.23430823,938046.03430823,2
2025-08-20,532203.4736146984,936740.4236146985,2
2025-08-21,532340.7483201942,937045.2483201942,2
2025-08-22,532478.0584338482,933802.6084338482,2
2025-08-25,532615.4039647934,934365.6539647934,2
2025-08-26,532752.7849221653,929055.0349221653,2
2025-08-28,532890.2013151016,928575.9513151016,2
2025-08-29,533027.6531527424,930946.1531527424,2
2025-09-01,533165.1404442302,931898.8904442302,2
2025-09-02,748252.6845794015,930572.5845794015,1
2025-09-03,931456.950177416,931456.950177416,0
2025-09-04,931697.2069304379,931697.2069304379,0
2025-09-05,931937.5256544477,931937.5256544477,0
2025-09-08,932177.90636543,932177.90636543,0
2025-09-09,932418.3490793734,932418.3490793734,0
2025-09-10,932658.8538122708,932658.8538122708,0
2025-09-11,932899.4205801191,932899.4205801191,0
2025-09-12,699672.9690043338,932737.6190043339,1
2025-09-15,331485.0658562278,931018.3158562279,3
2025-09-16,331570.5679565479,933546.7179565479,3
2025-09-17,362951.07346082944,938674.5734608294,3
2025-09-18,149423.88939826976,940958.7893982697,4
2025-09-19,1374.6989318749017,937510.898931875,5
2025-09-22,1375.0535169168536,922824.0535169168,5
2025-09-23,220870.3081419192,924231.2081419192,4
2025-09-24,424962.06310651934,922609.2631065194,3
2025-09-25,425071.6763370825,918830.4763370826,3
2025-09-26,425181.31784089963,919033.9178408997,3
2025-09-29,563777.0390224856,917411.0390224856,2
2025-09-30,563922.4577031858,915959.8577031859,2
