ticker,entry_date,exit_date,entry_price,exit_price,qty,holding_days,exit_reason,entry_cost,exit_cost,gross_pnl,pnl,pnl_pct
SBIN,2024-10-18,2024-10-24,811.1,786.05,235,6,signal_exit,152.49,332.5,-5886.75,-6371.74,-3.09
LT,2024-11-08,2024-11-21,3640.4,3530.0,41,13,signal_exit,119.41,260.51,-4526.4,-4906.32,-3.03
SBIN,2024-10-30,2024-11-21,828.0,771.63,177,22,stop_loss,117.24,245.84,-9977.33,-10340.42,-6.81
HDFCBANK,2024-10-22,2024-11-28,865.0,913.59,206,37,take_profit,142.55,338.76,10010.34,9529.03,5.62
KOTAKBANK,2024-12-10,2024-12-24,1783.25,1742.55,109,14,signal_exit,155.5,341.89,-4436.3,-4933.69,-2.28
TCS,2024-11-26,2024-12-26,4321.05,4179.5,34,30,signal_exit,117.53,255.79,-4812.7,-5186.02,-3.28
LT,2024-11-26,2024-12-27,3754.9,3632.4,38,31,signal_exit,114.15,248.46,-4655.0,-5017.61,-3.26
ICICIBANK,2024-11-26,2025-01-01,1310.6,1281.65,124,36,signal_exit,130.01,286.06,-3589.8,-4005.88,-2.21
INFY,2024-11-27,2025-01-02,1930.1,1887.0,76,36,signal_exit,117.35,258.14,-3275.6,-3651.09,-2.23
ITC,2024-12-31,2025-01-06,478.45,452.31,374,6,stop_loss,143.15,304.49,-9776.7,-10224.35,-5.46
KOTAKBANK,2025-01-03,2025-01-13,1851.0,1752.91,99,10,stop_loss,146.6,312.37,-9710.9,-10169.87,-5.3
KOTAKBANK,2025-01-17,2025-01-20,1797.0,1901.85,91,3,take_profit,130.82,311.52,9541.25,9098.91,5.83
RELIANCE,2025-01-20,2025-01-27,1316.0,1239.19,124,7,stop_loss,130.55,276.59,-9524.44,-9931.57,-5.84
HINDUNILVR,2025-02-01,2025-02-11,2475.0,2371.0,66,10,signal_exit,130.68,281.67,-6864.0,-7276.35,-4.2
RELIANCE,2025-02-05,2025-02-12,1282.65,1219.45,123,7,signal_exit,126.21,269.99,-7773.6,-8169.8,-4.93
ICICIBANK,2025-02-10,2025-02-13,1257.2,1252.55,138,3,signal_exit,138.79,311.13,-641.7,-1091.63,-0.37
HDFCBANK,2025-02-10,2025-02-17,858.6,842.6,202,7,signal_exit,138.75,306.37,-3232.0,-3677.12,-1.86
HDFCBANK,2025-02-18,2025-02-24,856.5,840.6,209,6,signal_exit,143.21,316.23,-3323.1,-3782.54,-1.86
HDFCBANK,2025-03-05,2025-03-06,851.0,843.5,202,1,signal_exit,137.52,306.7,-1515.0,-1959.22,-0.88
HDFCBANK,2025-03-19,2025-03-25,867.5,908.67,227,6,take_profit,157.54,371.28,9345.32,8816.5,4.75
LT,2025-03-25,2025-04-04,3505.0,3274.64,41,10,stop_loss,114.96,241.67,-9444.56,-9801.19,-6.57
RELIANCE,2025-03-17,2025-04-07,1242.15,1168.98,128,21,stop_loss,127.2,269.33,-9365.58,-9762.11,-5.89
SBIN,2025-03-24,2025-04-17,758.0,798.18,235,24,take_profit,142.5,337.63,9441.88,8961.75,5.3
RELIANCE,2025-04-22,2025-04-29,1300.0,1391.28,102,7,take_profit,106.08,255.44,9310.46,8948.94,7.02
LT,2025-05-02,2025-05-12,3325.0,3574.69,37,10,take_profit,98.42,238.07,9238.4,8901.9,7.51
ITC,2025-04-15,2025-06-02,429.2,418.3,393,48,signal_exit,134.94,295.91,-4283.7,-4714.55,-2.54
TCS,2025-05-13,2025-06-03,3620.4,3446.0,40,21,signal_exit,115.85,248.11,-6976.0,-7339.96,-4.82
HINDUNILVR,2025-04-11,2025-06-17,2394.6,2320.0,58,67,signal_exit,111.11,242.21,-4326.8,-4680.12,-3.12
HINDUNILVR,2025-07-09,2025-07-11,2399.0,2499.62,95,2,take_profit,182.32,427.43,9558.65,8948.89,4.19
INFY,2025-05-14,2025-07-21,1574.0,1580.0,74,68,signal_exit,93.18,210.46,444.0,140.36,0.38
ITC,2025-07-17,2025-07-24,425.8,415.85,565,7,signal_exit,192.46,422.92,-5621.75,-6237.13,-2.34
KOTAKBANK,2025-06-12,2025-07-28,2145.3,2025.3,82,46,signal_exit,140.73,298.93,-9840.0,-10279.67,-5.59
ICICIBANK,2025-07-22,2025-08-13,1474.1,1424.6,162,22,signal_exit,191.04,415.41,-8019.0,-8625.46,-3.36
SBIN,2025-08-13,2025-09-02,822.65,806.3,267,20,signal_exit,175.72,387.51,-4365.45,-4928.68,-1.99
LT,2025-08-05,2025-09-03,3630.0,3594.0,51,29,signal_exit,148.1,329.93,-1836.0,-2314.03,-0.99
SBIN,2025-09-12,2025-09-17,824.1,852.27,283,5,take_profit,186.58,434.15,7972.2,7351.48,3.42
ITC,2025-09-15,2025-09-23,413.05,407.1,540,8,signal_exit,178.44,395.7,-3213.0,-3787.14,-1.44
TCS,2025-09-18,2025-09-24,3185.0,3050.0,67,6,signal_exit,170.72,367.83,-9045.0,-9583.55,-4.24
INFY,2025-09-15,2025-09-29,1525.6,1460.0,95,14,signal_exit,115.95,249.66,-6232.0,-6597.61,-4.3
LT,2025-09-17,2025-09-30,3672.0,3659.0,57,13,end_of_backtest,167.44,375.41,-741.0,-1283.86,-0.35
KOTAKBANK,2025-09-19,2025-09-30,2054.6,1992.7,72,11,end_of_backtest,118.34,258.25,-4456.8,-4833.4,-3.01
